n,t,x,y,z,m
17,0,-0.0292902,0.9088427,0.4261985,0
17,0.01425171,-0.02832997,0.9131585,0.428054,0
17,0.03063965,-0.02742112,0.9170845,0.4298818,0
17,0.04180908,-0.02702922,0.9228643,0.4323871,0
17,0.05625916,-0.02659768,0.9278078,0.4347646,0
17,0.06974792,-0.02611023,0.9332314,0.4363159,0
17,0.0834198,-0.02557033,0.9377456,0.4379632,0
17,0.09770203,-0.02500445,0.9416743,0.4396394,0
17,0.1115112,-0.02579767,0.9477745,0.4398856,0
17,0.1257935,-0.02628362,0.9532368,0.4405819,0
17,0.1388855,-0.0271619,0.9584812,0.4397316,0
17,0.1529236,-0.02770293,0.9632356,0.4395134,0
17,0.1668701,-0.02803415,0.9676777,0.4396322,0
17,0.181015,-0.02935284,0.9688995,0.4392436,0
17,0.1948853,-0.03019404,0.970724,0.4392005,0
17,0.2085876,-0.03172159,0.970854,0.4406116,0
17,0.2223969,-0.03293502,0.9718005,0.4417907,0
17,0.237854,-0.03449011,0.972339,0.444273,0
17,0.2502289,-0.03586948,0.9733593,0.446455,0
17,0.2643433,-0.03712487,0.9745944,0.4484336,0
17,0.2779846,-0.03981632,0.9750373,0.4526289,0
17,0.2921753,-0.04222965,0.9757066,0.4563377,0
17,0.305954,-0.04523021,0.977712,0.4618674,0
17,0.3192596,-0.0478195,0.9796354,0.4665203,0
17,0.333313,-0.05280942,0.983619,0.4729697,0
17,0.3473511,-0.05679607,0.9867521,0.4783154,0
17,0.3612976,-0.06005502,0.9892243,0.4828609,0
17,0.3749695,-0.06776291,0.9948618,0.4910084,0
17,0.3895569,-0.07368863,0.9992141,0.4975481,0
17,0.4025574,-0.08126134,1.003482,0.5059717,0
17,0.4166412,-0.08738667,1.007122,0.5125854,0
17,0.4310608,-0.09265339,1.010411,0.5183309,0
17,0.4456482,-0.1010782,1.010808,0.5284705,0
17,0.4585419,-0.1080351,1.011915,0.5368506,0
17,0.4724274,-0.1185398,1.008246,0.550781,0
17,0.4861145,-0.1270481,1.006748,0.5615276,0
17,0.4998474,-0.1355073,1.002393,0.5697606,0
17,0.5139008,-0.1431621,0.9981096,0.5779463,0
17,0.5282288,-0.1503351,0.9941008,0.5859216,0
17,0.5414734,-0.1589951,0.9838408,0.5967052,0
17,0.5561371,-0.1666523,0.9767015,0.6061639,0
17,0.5694733,-0.1748848,0.9662315,0.6155124,0
17,0.5831909,-0.1822517,0.9589614,0.6242082,0
17,0.5974731,-0.1891631,0.9536841,0.6324888,0
17,0.6110535,-0.1962197,0.9452738,0.6377681,0
17,0.6250763,-0.2028106,0.9389404,0.6438541,0
17,0.6389465,-0.2081268,0.9337889,0.6474416,0
17,0.6542358,-0.2134805,0.9284926,0.6523547,0
17,0.6668091,-0.2176098,0.9228224,0.6571556,0
17,0.6805573,-0.2222443,0.917387,0.6628231,0
17,0.694931,-0.2272309,0.9122459,0.6689831,0
17,0.7086334,-0.2294975,0.9081001,0.6705321,0
17,0.7223053,-0.2325397,0.9037858,0.6735939,0
17,0.7363434,-0.232685,0.900617,0.6726156,0
17,0.75,-0.2339116,0.8977417,0.6731247,0
17,0.7640686,-0.2359297,0.8947469,0.6745902,0
17,0.7779083,-0.2367947,0.8887677,0.6766409,0
17,0.7920227,-0.2382715,0.8824776,0.6792113,0
17,0.8056641,-0.2384963,0.8749077,0.6812135,0
17,0.8190765,-0.2390842,0.8676388,0.6832094,0
