N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,1,0,0,L,A,L
2,0,0,1,R,B,R
3,0,1,0,R,A,R
4,1,0,0,L,C,L
5,0,0,1,R,B,L
6,0,1,0,R,A,R
7,1,0,0,L,C,L
8,0,0,1,R,B,R
9,0,1,0,R,A,L
10,1,0,0,L,C,L
11,0,0,1,R,B,L
12,1,0,0,L,A,L
13,0,1,0,L,B,R
14,0,0,1,R,C,L
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,0,0,1,R,C,R
18,1,0,0,L,A,R
19,0,1,0,L,B,L
20,0,0,1,R,C,R
21,1,0,0,L,A,L
22,0,0,1,R,B,R
23,0,1,0,R,A,R
24,1,0,0,L,C,L
25,0,0,1,R,B,R
26,0,1,0,R,A,R
27,0,0,1,R,C,R
28,1,0,0,L,A,R
29,0,0,1,R,B,R
30,0,1,0,R,A,R
31,1,0,0,L,C,R
32,0,0,1,R,B,L
33,0,1,0,R,A,L
34,1,0,0,L,C,L
35,0,0,1,R,B,L
36,0,1,0,R,A,R
37,1,0,0,L,C,L
38,0,0,1,R,B,R
39,1,0,0,L,A,R
