n,t,x,y,z,m
38,0,-0.3813807,0.8185972,-0.1406925,8
38,0.01446533,-0.382486,0.8203902,-0.1388738,8
38,0.02912903,-0.3839468,0.8238444,-0.1365992,8
38,0.04229736,-0.3839468,0.8238444,-0.1365992,8
38,0.05693054,-0.3878386,0.8327979,-0.131905,8
38,0.07043457,-0.3900113,0.837717,-0.1295137,8
38,0.08398438,-0.3919076,0.8418331,-0.1273487,8
38,0.09773254,-0.3949019,0.8483097,-0.1256606,8
38,0.1118927,-0.3973325,0.8536505,-0.123909,8
38,0.1285858,-0.3992951,0.8582995,-0.1213214,8
38,0.1395874,-0.3992951,0.8582995,-0.1213214,8
38,0.153656,-0.4030792,0.8662143,-0.1167969,8
38,0.1669464,-0.4048634,0.8696111,-0.1147602,8
38,0.1809845,-0.4065162,0.8727571,-0.1128755,8
38,0.1950378,-0.4074987,0.8735173,-0.109871,8
38,0.2088318,-0.4086208,0.875011,-0.1072007,8
38,0.222702,-0.4099199,0.8764974,-0.1050686,8
38,0.2366486,-0.411232,0.8781694,-0.1029771,8
38,0.250412,-0.4118583,0.8774555,-0.09906027,8
38,0.2644348,-0.4127088,0.877552,-0.09544566,8
38,0.2780762,-0.4136748,0.8781566,-0.09200095,8
38,0.2927246,-0.4136748,0.8781566,-0.09200095,8
38,0.3061829,-0.4150842,0.8779206,-0.08770075,8
38,0.3201447,-0.4177153,0.8786233,-0.0798966,8
38,0.3360138,-0.4190099,0.8793829,-0.07634768,8
38,0.3478088,-0.4203482,0.8803683,-0.07291088,8
38,0.3616486,-0.4210333,0.8801919,-0.06849581,8
38,0.3753357,-0.4210333,0.8801919,-0.06849581,8
38,0.3895111,-0.4228555,0.8811202,-0.05991933,8
38,0.4031067,-0.4239204,0.8820035,-0.05574724,8
38,0.417038,-0.423885,0.8805051,-0.04981193,8
38,0.4312897,-0.4243357,0.8799217,-0.04470184,8
38,0.4449615,-0.4250634,0.8798795,-0.0400809,8
38,0.4588318,-0.4249915,0.8791086,-0.03424364,8
38,0.4729614,-0.4249915,0.8791086,-0.03424364,8
38,0.4868469,-0.4266027,0.8782728,-0.02448681,8
38,0.5003052,-0.427671,0.8776456,-0.0200685,8
38,0.5145111,-0.4286604,0.8769214,-0.01586822,8
38,0.5295868,-0.4304566,0.8767699,-0.01371193,8
38,0.5451202,-0.431762,0.8762418,-0.01110163,8
38,0.5572205,-0.4342211,0.8764186,-0.009632826,8
38,0.5700531,-0.4362002,0.8764706,-0.007530391,8
38,0.5832062,-0.4379479,0.8764817,-0.005020261,8
38,0.5973969,-0.4416054,0.8770542,-0.004706681,8
38,0.6113892,-0.4446989,0.8775337,-0.003623515,8
38,0.6260071,-0.4499819,0.8774002,-0.002762675,8
38,0.6391144,-0.4546314,0.8772106,-0.001494467,8
38,0.6534271,-0.4597999,0.8754389,0.00171259,8
38,0.6671906,-0.464179,0.8742045,0.004986942,8
38,0.6807861,-0.4679934,0.8733426,0.008220226,8
38,0.6980286,-0.4715911,0.8708021,0.01432401,8
38,0.7088318,-0.4715911,0.8708021,0.01432401,8
38,0.7218018,-0.4773335,0.8662257,0.02784443,8
38,0.7359467,-0.4798651,0.8640118,0.03460878,8
38,0.7522125,-0.4825831,0.8628067,0.04138964,8
38,0.763916,-0.4851954,0.8613592,0.04710808,8
38,0.7773132,-0.487716,0.8598008,0.05218306,8
38,0.7922974,-0.4898101,0.8577812,0.05750623,8
38,0.805542,-0.4898101,0.8577812,0.05750623,8
38,0.8192902,-0.4936953,0.8546416,0.06748199,8
38,0.8335266,-0.4957392,0.8533036,0.07219732,8
38,0.84729,-0.4979891,0.8518604,0.07672542,8
38,0.8614044,-0.5009869,0.8505731,0.07806745,8
38,0.8757172,-0.5009869,0.8505731,0.07806745,8
38,0.8892212,-0.5079178,0.8471847,0.0815382,8
38,0.9030304,-0.5114,0.8453224,0.08385748,8
38,0.9169769,-0.5143444,0.8403149,0.08700728,8
38,0.9316254,-0.5171483,0.8363419,0.09070641,8
38,0.9449158,-0.5199018,0.8329902,0.09461996,8
38,0.961319,-0.5228345,0.8290007,0.09544793,8
38,0.9726868,-0.5228345,0.8290007,0.09544793,8
38,0.9862823,-0.5266343,0.8209777,0.1008516,8
38,0.9998322,-0.5283173,0.8168852,0.104359,8
38,1.014053,-0.5302613,0.8131554,0.107814,8
38,1.028641,-0.5316312,0.8084215,0.1111102,8
