n,t,x,y,z,m
9,0,0.1780759,0.8282259,0.3732671,2
9,0.01464844,0.1777203,0.8309604,0.3744937,2
9,0.02836609,0.1776367,0.8339649,0.3765989,2
9,0.04232788,0.1775539,0.8367581,0.3785142,2
9,0.05619812,0.177479,0.8393404,0.3802584,2
9,0.07020569,0.1777421,0.8431411,0.3830528,2
9,0.08368683,0.1779552,0.8465753,0.3855103,2
9,0.09729767,0.1780941,0.8531992,0.3900047,2
9,0.1118851,0.1781308,0.8588188,0.3936092,2
9,0.1264954,0.1777716,0.865445,0.3983811,2
9,0.1391373,0.1773763,0.870932,0.402114,2
9,0.1530609,0.177022,0.8757418,0.4052624,2
9,0.1671219,0.1781919,0.8823729,0.4123357,2
9,0.1806335,0.1788628,0.8879478,0.4178847,2
9,0.1946335,0.178464,0.8935294,0.4243315,2
9,0.2087784,0.1783341,0.898693,0.4301003,2
9,0.2223053,0.178331,0.9036835,0.4353458,2
9,0.2365189,0.1774654,0.9073541,0.4412934,2
9,0.2502975,0.1774482,0.9113485,0.44716,2
9,0.2639084,0.1761678,0.914628,0.4527593,2
9,0.2779388,0.1760585,0.9181922,0.4584255,2
9,0.2919006,0.1756393,0.918525,0.4669845,2
9,0.306572,0.1760122,0.9199061,0.4747179,2
9,0.3197708,0.1765941,0.921918,0.481573,2
9,0.3348618,0.1762855,0.9225074,0.4894029,2
9,0.3478241,0.1764286,0.9236947,0.4963927,2
9,0.3610001,0.1758669,0.9236709,0.5052963,2
9,0.3757782,0.1754165,0.924583,0.5128483,2
9,0.3892441,0.1772225,0.9221842,0.5213301,2
9,0.4030609,0.177882,0.9215992,0.5283829,2
9,0.4170227,0.1781571,0.9218165,0.5349827,2
9,0.4308548,0.1814027,0.9168513,0.5432125,2
9,0.4453735,0.1826468,0.9148736,0.5499339,2
9,0.4582596,0.1844243,0.9101752,0.5543209,2
9,0.4725723,0.1846585,0.9084936,0.5584051,2
9,0.4865799,0.1844729,0.9078375,0.5628079,2
9,0.4999771,0.186119,0.8989819,0.5709439,2
9,0.5144196,0.1872882,0.8932002,0.5787962,2
9,0.5280533,0.1863049,0.8847469,0.5875248,2
9,0.5433044,0.1862696,0.878351,0.595844,2
9,0.555748,0.1850839,0.873693,0.6017829,2
9,0.5701599,0.1848955,0.869608,0.6080449,2
9,0.5836411,0.1849626,0.8659294,0.6143569,2
9,0.5971375,0.1866333,0.8616948,0.6201221,2
9,0.6116867,0.1877872,0.8578616,0.6259704,2
9,0.6254654,0.1892278,0.8539693,0.6308206,2
9,0.6392822,0.1906671,0.8498865,0.6359857,2
9,0.6531601,0.1921115,0.8457012,0.6413561,2
9,0.667038,0.1931779,0.8413934,0.6452798,2
9,0.6810226,0.1943419,0.8369552,0.6496571,2
9,0.6948624,0.19452,0.8344486,0.6519747,2
9,0.7089767,0.1951246,0.8312778,0.6549943,2
9,0.7222061,0.1520071,0.7897779,0.6142871,2
9,0.7383957,0.1354461,0.8230739,0.6045384,2
9,0.7533875,0.1822657,0.8590977,0.5416638,2
9,0.7641525,0.2586537,0.8110337,0.6063464,2
9,0.7799149,0.2401938,0.8609452,0.666448,2
9,0.7936707,0.1954021,0.8221989,0.6590784,2
9,0.808075,0.1924812,0.8136811,0.6677667,2
9,0.8209686,0.1928993,0.8107047,0.6739421,2
9,0.835022,0.1958441,0.8096865,0.6782813,2
9,0.847374,0.1971813,0.8075591,0.6816319,2
