N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,0,1,R,B,L
4,0,1,0,R,A,R
5,1,0,0,L,C,L
6,0,0,1,R,B,R
7,0,1,0,R,A,R
8,1,0,0,L,C,L
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,1,0,0,L,C,R
12,0,0,1,R,B,R
13,0,1,0,R,A,L
14,1,0,0,L,C,R
15,0,0,1,R,B,L
16,0,1,0,R,A,L
17,1,0,0,L,C,R
18,0,0,1,R,B,R
19,0,1,0,R,A,L
20,1,0,0,L,C,L
21,0,0,1,R,B,L
22,0,1,0,R,A,L
23,1,0,0,L,C,R
24,0,0,1,R,B,R
25,0,1,0,R,A,L
26,1,0,0,L,C,R
27,0,0,1,R,B,L
28,0,1,0,R,A,L
29,0,0,1,R,C,R
30,0,1,0,R,A,R
31,1,0,0,L,C,L
32,0,0,1,R,B,R
33,1,0,0,L,A,L
34,0,1,0,L,B,L
35,0,0,1,R,C,R
36,0,1,0,R,A,R
37,1,0,0,L,C,L
38,0,0,1,R,B,L
39,0,1,0,R,A,L
