n,t,x,y,z,m
2,0,0.1830562,0.8324082,0.3903685,0
2,0.01428986,0.1827587,0.838816,0.399265,0
2,0.02767181,0.1824795,0.8439308,0.4065366,0
2,0.04101563,0.182251,0.8481096,0.4125805,0
2,0.05497742,0.1803576,0.853424,0.4200527,0
2,0.06833649,0.1791229,0.8577671,0.4263493,0
2,0.08240509,0.1728845,0.8645375,0.4347608,0
2,0.09666443,0.1687679,0.8703654,0.4422433,0
2,0.1098404,0.1634377,0.8741152,0.4526275,0
2,0.1244202,0.1600233,0.8776677,0.4617161,0
2,0.1379852,0.1572216,0.8817203,0.4699527,0
2,0.1513596,0.1558847,0.8820118,0.4833291,0
2,0.1656418,0.1545876,0.8836371,0.4946742,0
2,0.1804352,0.1530055,0.8798825,0.506291,0
2,0.1942978,0.1515779,0.8790532,0.5166316,0
2,0.20681,0.1502056,0.8795351,0.5259873,0
2,0.2213364,0.1506431,0.8757757,0.5359372,0
2,0.2350845,0.1502775,0.8742514,0.5451352,0
2,0.2486725,0.1495975,0.8696438,0.5509875,0
2,0.2630844,0.1487955,0.8670521,0.5576079,0
2,0.2773819,0.1479306,0.8654021,0.5646452,0
2,0.2905884,0.1506985,0.8592312,0.5757817,0
2,0.3044739,0.152132,0.8551238,0.5859216,0
2,0.3181076,0.1570032,0.8472461,0.6015527,0
2,0.3322449,0.1604187,0.8416762,0.614581,0
2,0.346817,0.1619774,0.8346751,0.6259801,0
2,0.3608398,0.1630391,0.8293731,0.6363022,0
2,0.3743973,0.1638224,0.8249407,0.6460353,0
2,0.3890305,0.1628451,0.8203362,0.6514285,0
2,0.4016037,0.1621932,0.8160851,0.6579054,0
2,0.4155197,0.1618661,0.8094953,0.6642146,0
2,0.4293518,0.1615087,0.8038065,0.671209,0
2,0.4432526,0.1619682,0.7992744,0.6770517,0
2,0.4578857,0.1616213,0.7948692,0.6833859,0
