N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,L
2,1,0,0,L,C,R
3,0,0,1,R,B,L
4,0,1,0,R,A,L
5,0,0,1,R,C,R
6,1,0,0,L,A,L
7,0,1,0,L,B,L
8,0,0,1,R,C,L
9,1,0,0,L,A,L
10,0,0,1,R,B,R
11,0,1,0,R,A,R
12,1,0,0,L,C,R
13,0,0,1,R,B,R
14,0,1,0,R,A,L
15,1,0,0,L,C,L
16,0,0,1,R,B,L
17,0,1,0,R,A,L
18,1,0,0,L,C,R
19,0,1,0,L,B,L
20,1,0,0,L,C,R
21,0,0,1,R,B,R
22,0,1,0,R,A,R
23,1,0,0,L,C,R
24,0,1,0,L,B,L
25,1,0,0,L,C,L
26,0,0,1,R,B,R
27,0,1,0,R,A,L
28,1,0,0,L,C,R
29,0,0,1,R,B,R
30,1,0,0,L,A,L
31,0,1,0,L,B,L
32,0,0,1,R,C,R
33,1,0,0,L,A,L
34,0,0,1,R,B,R
35,0,1,0,R,A,R
36,1,0,0,L,C,L
37,0,0,1,R,B,R
38,0,1,0,R,A,R
39,1,0,0,L,C,R
