n,t,x,y,z,m
27,0,0.002216578,0.4551235,0.3181326,10
27,0.01376343,-0.001966715,0.4607062,0.3233553,10
27,0.02783203,-0.005056322,0.4647039,0.3274933,10
27,0.04191589,-0.007365227,0.4676129,0.3306887,10
27,0.05563354,-0.01182061,0.4726437,0.3363165,10
27,0.06916809,-0.01512575,0.4765636,0.3407319,10
27,0.08312988,-0.01512575,0.4765636,0.3407319,10
27,0.09706116,-0.02647376,0.489082,0.3518629,10
27,0.110733,-0.03274995,0.499245,0.3587789,10
27,0.1249084,-0.0375793,0.5071561,0.3646101,10
27,0.1391296,-0.04160589,0.5138814,0.3698227,10
27,0.1528168,-0.04983604,0.5225213,0.3739139,10
27,0.1677399,-0.05606216,0.5297753,0.3783507,10
27,0.1798096,-0.06477046,0.5344807,0.380417,10
27,0.1942596,-0.07152063,0.5399373,0.3835925,10
27,0.20755,-0.07741284,0.545617,0.3871527,10
27,0.2213287,-0.0832966,0.5415144,0.3995968,10
27,0.2359314,-0.08898693,0.5417545,0.4082786,10
27,0.2490997,-0.09313202,0.533842,0.4197001,10
27,0.2634735,-0.0977897,0.5317478,0.4279665,10
27,0.2772522,-0.1027077,0.5318331,0.4351624,10
27,0.2910461,-0.1070954,0.5287019,0.4458603,10
27,0.3048401,-0.1120549,0.5279965,0.454532,10
27,0.3188934,-0.1170962,0.5256664,0.4611068,10
27,0.3330231,-0.122205,0.5245303,0.4675422,10
27,0.3463287,-0.1262347,0.5215454,0.4751707,10
27,0.3604431,-0.130576,0.5193427,0.4824544,10
27,0.3759155,-0.1350825,0.517671,0.4895543,10
27,0.3879547,-0.1404694,0.5155361,0.492771,10
27,0.4029083,-0.1454209,0.5136728,0.4972346,10
27,0.416214,-0.1454209,0.5136728,0.4972346,10
27,0.4297638,-0.1534286,0.5043352,0.5092787,10
27,0.4440613,-0.1564491,0.4959514,0.5171809,10
27,0.4579773,-0.1599594,0.4894893,0.5241559,10
27,0.4717865,-0.1636379,0.4841255,0.5305796,10
27,0.4852905,-0.1652477,0.4758159,0.534453,10
27,0.4997406,-0.1675356,0.4693366,0.5389026,10
27,0.5132141,-0.1673924,0.4615279,0.5418961,10
27,0.5267792,-0.168653,0.4554662,0.5451928,10
27,0.5409851,-0.1706204,0.4501276,0.5489048,10
27,0.5550232,-0.1711729,0.4446665,0.5529559,10
27,0.5691528,-0.1726081,0.4398231,0.5570571,10
27,0.5845642,-0.1726081,0.4398231,0.5570571,10
27,0.5969696,-0.1727063,0.430057,0.5612415,10
27,0.610321,-0.1730896,0.4266026,0.5638986,10
27,0.6246185,-0.1736459,0.4225681,0.5668726,10
