n,t,x,y,z,m
0,0,-0.01681662,0.4661986,0.2640241,0
0,0.01567841,-0.01641518,0.4672548,0.2641074,0
0,0.02872467,-0.01588625,0.4684779,0.2640967,0
0,0.04189301,-0.01588625,0.4684779,0.2640967,0
0,0.0582428,-0.01516581,0.4701585,0.2645723,0
0,0.06967926,-0.01516581,0.4701585,0.2645723,0
0,0.08351898,-0.01463109,0.4712925,0.265219,0
0,0.09734344,-0.01368141,0.4727218,0.2667072,0
0,0.1112518,-0.01263833,0.474208,0.2683349,0
0,0.1254425,-0.01005214,0.4794864,0.2724136,0
0,0.1387787,-0.01005214,0.4794864,0.2724136,0
0,0.1530991,-0.008572936,0.4828311,0.2747836,0
0,0.1668091,-0.005297303,0.4907305,0.2790686,0
0,0.1809006,-0.002440274,0.4970024,0.2828492,0
0,0.1945572,0.004331291,0.5124809,0.2913779,0
0,0.208252,0.004331291,0.5124809,0.2913779,0
0,0.2223969,0.0079813,0.5210766,0.2956299,0
0,0.2361984,0.01254123,0.5298047,0.3017817,0
0,0.2503815,0.02065676,0.5436398,0.3126405,0
0,0.2662048,0.02065676,0.5436398,0.3126405,0
0,0.2775345,0.0276258,0.554518,0.3211898,0
0,0.2919846,0.0276258,0.554518,0.3211898,0
0,0.3056946,0.03310138,0.561716,0.3252376,0
0,0.320015,0.03765857,0.5683997,0.3287675,0
0,0.3335037,0.04169387,0.5745817,0.3320332,0
0,0.3475952,0.04522181,0.5790125,0.3373926,0
0,0.3609467,0.04866827,0.5841621,0.3419282,0
0,0.3749161,0.05747861,0.5942348,0.351804,0
0,0.3891144,0.05747861,0.5942348,0.351804,0
0,0.4028778,0.0636788,0.6028557,0.3571645,0
0,0.4171066,0.0636788,0.6028557,0.3571645,0
0,0.4305115,0.06708378,0.6082834,0.3604954,0
0,0.4442062,0.06969696,0.6100335,0.3656457,0
0,0.4584198,0.06969696,0.6100335,0.3656457,0
0,0.4746475,0.07046598,0.6104651,0.3676854,0
0,0.486557,0.07197261,0.6120521,0.3701622,0
0,0.4999771,0.07372975,0.6115486,0.3732955,0
0,0.5140076,0.07744133,0.6130865,0.3791966,0
0,0.5277328,0.07744133,0.6130865,0.3791966,0
0,0.541214,0.07925475,0.6128406,0.3818212,0
0,0.555809,0.08086884,0.6130883,0.3842142,0
0,0.5695648,0.08151007,0.6118563,0.3851245,0
0,0.5832672,0.08146858,0.6106587,0.3855819,0
0,0.5973816,0.08146858,0.6106587,0.3855819,0
0,0.6111526,0.08124179,0.6104484,0.3855163,0
0,0.6249619,0.081249,0.610494,0.3856733,0
0,0.638649,0.08095199,0.6099635,0.3859432,0
0,0.6533813,0.08095199,0.6099635,0.3859432,0
0,0.6666718,0.08093864,0.6085089,0.3862821,0
0,0.6829071,0.08134067,0.6062515,0.3871462,0
0,0.6944275,0.08154911,0.6046289,0.3881338,0
0,0.7084885,0.08154911,0.6046289,0.3881338,0
0,0.7224731,0.08198446,0.6002222,0.39099,0
0,0.7363586,0.08198446,0.6002222,0.39099,0
0,0.7503738,0.08222449,0.5975611,0.3928212,0
0,0.7638397,0.0820992,0.5953079,0.3951637,0
0,0.7773285,0.08210146,0.5909275,0.3996794,0
0,0.7918243,0.08210146,0.5909275,0.3996794,0
0,0.8055954,0.08300823,0.5867367,0.4041699,0
0,0.8196411,0.08300823,0.5867367,0.4041699,0
0,0.8333817,0.08344036,0.5851384,0.4063015,0
0,0.8471146,0.08394694,0.5834449,0.408375,0
0,0.8611374,0.0844897,0.5817409,0.4103752,0
0,0.8750305,0.08436513,0.5810789,0.4113776,0
