n,t,x,y,z,m
31,0,0.0711773,0.7768162,0.2853602,3
31,0.01420593,0.0742895,0.780697,0.2883949,3
31,0.02983093,0.08109158,0.7845057,0.2966475,3
31,0.04771423,0.08788872,0.7877498,0.3039001,3
31,0.05664063,0.09385991,0.790537,0.3138991,3
31,0.06965637,0.09932727,0.7929267,0.3220474,3
31,0.08314514,0.1058879,0.7936052,0.3346481,3
31,0.09733582,0.1130743,0.7935948,0.3453877,3
31,0.1110229,0.1211759,0.7927274,0.3550627,3
31,0.1249695,0.1284304,0.7912787,0.3690403,3
31,0.1390076,0.1284304,0.7912787,0.3690403,3
31,0.15271,0.1410385,0.7881162,0.390993,3
31,0.1664124,0.1477256,0.7861208,0.4007052,3
31,0.1808472,0.1520569,0.7847563,0.4102272,3
31,0.2003326,0.1559738,0.7840209,0.4187046,3
31,0.2081299,0.1597247,0.7836225,0.4266461,3
31,0.222229,0.1597247,0.7836225,0.4266461,3
31,0.2376862,0.1661544,0.786373,0.4430455,3
31,0.2496948,0.1655933,0.7903922,0.445869,3
31,0.2639313,0.1663648,0.7934551,0.4500813,3
31,0.2777405,0.1681696,0.7961596,0.4552525,3
31,0.2923126,0.1688218,0.79855,0.459796,3
31,0.3051147,0.1688218,0.79855,0.459796,3
31,0.3191376,0.1740479,0.7994276,0.4720447,3
31,0.3334961,0.1770713,0.7992947,0.47883,3
31,0.356842,0.1799645,0.799501,0.485638,3
31,0.3613892,0.1820799,0.8005035,0.4919832,3
31,0.3748322,0.1820799,0.8005035,0.4919832,3
31,0.3889313,0.1841305,0.8021934,0.5028057,3
31,0.402771,0.1844723,0.802452,0.5076864,3
31,0.4165192,0.1822323,0.8038963,0.5101448,3
31,0.4312744,0.180425,0.8049567,0.5132847,3
31,0.4462738,0.1791306,0.8059423,0.5169457,3
31,0.4585266,0.1795256,0.805049,0.5202914,3
31,0.4720612,0.1795256,0.805049,0.5202914,3
31,0.4858093,0.1813531,0.8021802,0.5285777,3
31,0.5050201,0.1825982,0.800545,0.5333611,3
31,0.5136719,0.1849563,0.7974391,0.5377831,3
31,0.5275879,0.1870221,0.7951701,0.5423284,3
31,0.5418243,0.1870221,0.7951701,0.5423284,3
31,0.5557861,0.1909317,0.7903873,0.5515834,3
31,0.5693207,0.1925063,0.7886159,0.5561783,3
31,0.5833282,0.1954435,0.7844763,0.5620063,3
31,0.5975952,0.1982274,0.7810947,0.5676257,3
31,0.6109314,0.1982274,0.7810947,0.5676257,3
31,0.6246033,0.2028064,0.7759758,0.5790083,3
31,0.6387024,0.2048541,0.7734647,0.5846566,3
31,0.660675,0.205883,0.7698959,0.5905628,3
31,0.666214,0.2072985,0.7646952,0.5958771,3
31,0.6800995,0.2069446,0.7611387,0.5971283,3
31,0.6944885,0.2070015,0.7576587,0.5989045,3
31,0.7083893,0.2073237,0.7543643,0.6010789,3
31,0.7224579,0.2053517,0.7503011,0.6010407,3
31,0.7361755,0.2039801,0.7460174,0.601359,3
31,0.7497559,0.2022892,0.7432038,0.6008852,3
