n,t,x,y,z,m
16,0,0.02829164,0.3255387,0.322616,0
16,0.01275635,0.02607632,0.3372382,0.3295739,0
16,0.02702332,0.0244711,0.3435924,0.3350514,0
16,0.04022217,0.02034342,0.3508214,0.3463165,0
16,0.05461121,0.01775473,0.3545859,0.3539135,0
16,0.06825256,0.01619571,0.3570428,0.3594579,0
16,0.08200073,0.01172978,0.3624752,0.3732692,0
16,0.09571838,0.009060204,0.3668796,0.3829769,0
16,0.1097412,0.006101608,0.3758288,0.3949032,0
16,0.1237946,0.003984511,0.3825215,0.4042482,0
16,0.1371155,0.002517343,0.3894925,0.4164737,0
16,0.1515045,0.001324177,0.3962384,0.4266797,0
16,0.1651306,0.0002577305,0.4029732,0.4358447,0
16,0.1790771,-0.002960384,0.4062533,0.4475774,0
16,0.1932068,-0.005702972,0.4105386,0.4580069,0
16,0.2083893,-0.007867277,0.4075905,0.4728249,0
16,0.2205048,-0.009813309,0.4076807,0.4852238,0
16,0.2341156,-0.01087505,0.3999469,0.4998444,0
16,0.2480164,-0.01208431,0.3976662,0.5122944,0
16,0.2620392,-0.01337063,0.3975404,0.5239128,0
16,0.275589,-0.01425105,0.3877675,0.5354302,0
16,0.2903595,-0.01561731,0.3838938,0.5461936,0
16,0.3037872,-0.01385987,0.375644,0.5575527,0
16,0.3178101,-0.01394647,0.3716492,0.5683218,0
16,0.3314667,-0.01453424,0.3693169,0.5790744,0
16,0.3453522,-0.013879,0.3602438,0.5878172,0
16,0.3592529,-0.01377243,0.3542334,0.5970727,0
16,0.37323,-0.01407343,0.3486579,0.6053256,0
16,0.3872833,-0.01410699,0.3436123,0.6141518,0
16,0.4010925,-0.01661962,0.3400853,0.6207022,0
16,0.4167175,-0.01776135,0.3354719,0.6278305,0
16,0.4291382,-0.01855892,0.3307964,0.6352293,0
16,0.442749,-0.02076471,0.3253006,0.6362761,0
16,0.4570007,-0.02207178,0.3196801,0.6388147,0
16,0.4704895,-0.022672,0.3117826,0.6401396,0
16,0.4850006,-0.0231927,0.3049544,0.6430267,0
16,0.498291,-0.02371669,0.2987672,0.6468424,0
16,0.5122681,-0.02329606,0.2913524,0.6496064,0
16,0.5265198,-0.02317351,0.2845916,0.6532251,0
